City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,victor harbor,AU,-35.57,138.62,60.01,66,41,1.99,scattered clouds
304,berdigestyakh,RU,62.1,126.7,22.55,88,100,9.04,overcast clouds
305,micheweni,TZ,-4.97,39.83,77.74,84,75,8.03,light rain
306,san jose,US,37.34,-121.89,63.0,29,0,4.23,clear sky
307,urazovo,RU,50.08,38.04,44.19,85,97,2.24,overcast clouds
308,kutum,SD,14.2,24.67,65.61,31,0,7.18,clear sky
309,hofn,IS,64.25,-15.21,41.72,68,67,13.31,broken clouds
310,arrifes,PT,37.77,-25.7,57.2,82,20,3.36,few clouds
311,tignere,CM,7.37,12.65,64.13,82,15,0.89,few clouds
312,esperance,AU,-33.87,121.9,73.4,35,0,24.16,clear sky
313,oranjestad,AW,12.52,-70.03,84.2,74,20,19.46,few clouds
314,jha jha,IN,24.77,86.37,77.54,45,1,4.34,clear sky
315,kargasok,RU,59.06,80.86,26.82,98,98,11.05,light snow
316,barabinsk,RU,55.36,78.36,38.16,99,100,6.31,overcast clouds
317,debre sina,ET,9.85,39.77,47.5,66,15,1.7,few clouds
318,iranshahr,IR,27.2,60.68,53.6,22,0,1.52,clear sky
319,upernavik,GL,72.79,-56.15,14.13,78,53,5.88,broken clouds
320,tessalit,ML,20.2,1.01,75.65,17,0,8.9,clear sky
321,bom jardim,BR,-7.8,-35.59,68.47,98,42,5.08,scattered clouds
322,takaka,NZ,-40.85,172.8,61.0,91,100,5.99,overcast clouds
323,batsfjord,NO,70.63,29.72,32.49,92,100,23.29,overcast clouds
324,quelimane,MZ,-17.88,36.89,77.0,88,20,5.82,few clouds
325,lincoln,US,40.8,-96.67,27.0,86,90,19.46,light snow
326,tautira,PF,-17.73,-149.15,82.4,74,40,4.7,shower rain
327,nuevo progreso,MX,23.17,-97.95,77.0,66,0,1.01,clear sky
328,luganville,VU,-15.53,167.17,84.2,74,40,8.05,scattered clouds
329,oksfjord,NO,70.24,22.35,33.8,86,90,27.51,light rain
330,sao jose da coroa grande,BR,-8.9,-35.15,76.66,84,83,12.71,broken clouds
331,tottori,JP,35.5,134.23,66.2,59,20,5.82,few clouds
332,constitucion,CL,-35.33,-72.42,49.69,73,0,11.16,clear sky
333,aljezur,PT,37.32,-8.8,59.02,73,92,12.15,overcast clouds
334,pemba,MZ,-12.97,40.52,75.2,88,20,6.93,few clouds
335,stony mountain,CA,50.09,-97.22,24.01,79,90,5.82,overcast clouds
336,arica,CL,-18.48,-70.3,58.14,82,8,1.63,clear sky
337,houma,US,29.6,-90.72,66.99,88,1,3.36,clear sky
338,dicabisagan,PH,17.08,122.42,81.3,83,100,10.92,light rain
339,xining,CN,36.62,101.77,42.82,53,100,4.76,overcast clouds
340,gwadar,PK,25.12,62.33,74.95,26,0,10.78,clear sky
341,torbay,CA,47.67,-52.73,39.0,64,75,26.4,broken clouds
342,port hardy,CA,50.7,-127.42,41.0,86,90,2.24,overcast clouds
343,thunder bay,CA,48.4,-89.32,28.99,86,90,3.36,overcast clouds
344,hirara,JP,24.8,125.28,80.6,61,20,13.87,few clouds
345,nanakuli,US,21.39,-158.15,87.8,55,40,5.82,scattered clouds
346,cao bang,VN,22.67,106.25,71.19,80,98,1.28,overcast clouds
347,revda,RU,56.8,59.93,32.0,98,90,6.71,light shower snow
348,serik,TR,36.92,31.1,62.6,48,0,4.7,clear sky
349,hvolsvollur,IS,63.75,-20.22,34.0,90,0,1.01,clear sky
350,vila velha,BR,-20.33,-40.29,71.6,94,75,2.24,broken clouds
351,strezhevoy,RU,60.73,77.59,24.8,92,40,13.42,light snow
352,guatire,VE,10.48,-66.54,84.2,62,20,3.36,few clouds
353,natchitoches,US,31.77,-93.13,60.8,87,90,5.82,overcast clouds
354,bonavista,CA,48.65,-53.11,37.99,68,95,20.0,overcast clouds
355,charters towers,AU,-20.1,146.27,90.84,27,40,4.07,scattered clouds
356,udachnyy,RU,66.42,112.4,3.2,84,0,1.28,clear sky
357,wenling,CN,28.37,121.36,77.0,70,42,1.99,scattered clouds
358,rocha,UY,-34.48,-54.33,65.84,96,100,12.57,moderate rain
359,kjopsvik,NO,68.1,16.37,43.0,86,100,16.11,overcast clouds
360,chizhou,CN,30.66,117.48,66.69,63,79,3.76,broken clouds
361,tabou,CI,4.42,-7.35,76.95,90,28,6.82,moderate rain
362,vao,NC,-22.67,167.48,73.04,83,0,16.08,clear sky
363,nizhneangarsk,RU,55.78,109.55,29.59,83,100,8.61,overcast clouds
364,nyurba,RU,63.28,118.33,16.48,85,100,9.24,overcast clouds
365,wanning,CN,18.8,110.4,78.51,88,100,13.58,overcast clouds
366,lavrentiya,RU,65.58,-171.0,33.19,90,94,8.68,overcast clouds
367,ndele,CF,8.41,20.65,71.02,88,79,3.22,broken clouds
368,los llanos de aridane,ES,28.66,-17.92,69.8,73,90,11.41,overcast clouds
369,solnechnyy,RU,50.72,136.63,44.44,62,0,3.06,clear sky
370,isangel,VU,-19.55,169.27,82.4,65,75,9.17,broken clouds
371,ahuimanu,US,21.44,-157.84,82.4,74,40,8.05,scattered clouds
372,pitimbu,BR,-7.47,-34.81,77.0,88,40,3.36,scattered clouds
373,nome,US,64.5,-165.41,39.2,80,90,6.93,overcast clouds
374,srednekolymsk,RU,67.45,153.68,16.36,90,0,0.47,clear sky
